job_id,job_title,company,location,work_setup,employment_type,salary,posted_date,job_description
JP0088,Junior Business Intelligence Analyst,Siklab Innovations,"Quezon City, Metro Manila",WFH,Full Time,"₱44,000 - ₱56,000 / month","Jun 08, 2026","Siklab Innovations is looking for a Junior Business Intelligence Analyst based in Quezon City. Responsibilities include working with DAX, Power Query, Power BI, Tableau. The ideal candidate has strong analytical and communication skills."
JP0095,Senior AI/ML Engineer,Kislap Labs,"Taguig, Metro Manila",On-site,Full-time ,"Up to ₱247,000/month",21-Jun-26,"Kislap Labs is looking for a Senior AI/ML Engineer based in Taguig. Responsibilities include working with Machine Learning, NLP, Generative AI, TensorFlow, Python, PyTorch. The ideal candidate has strong analytical and communication skills."
JP0075,Business Intelligence Analyst,Siklab Innovations,"Iloilo City, Western Visayas",remote,Full Time,,2026-05-16,"Siklab Innovations is looking for a Business Intelligence Analyst based in Iloilo City. Responsibilities include working with Power BI, SQL, Tableau. The ideal candidate has strong analytical and communication skills."
JP0087,Data Analyst,Hiraya Techworks,"Davao City, Davao Region",WFH,Full-time ,"40,000 to 52,000 PHP per month","Jun 07, 2026","Hiraya Techworks is looking for a Data Analyst based in Davao City. Responsibilities include working with SQL, Statistics, Excel, Python, Power BI. The ideal candidate has strong analytical and communication skills."
JP0083,Lead Data Engineer (Remote),Kislap Labs,"Makati, Metro Manila",Remote,full-time,"₱173,000 - ₱221,000 / month",01-Jun-26,"Kislap Labs is looking for a Lead Data Engineer based in Makati. Responsibilities include working with SQL, Azure, Airflow, Python, Snowflake, Spark. The ideal candidate has strong analytical and communication skills."
JP0021,Lead AI/ML Engineer  ,Duyan AI Labs,"Taguig, Metro Manila",On-site,Full-time ,"PHP 232,000-296,000 monthly",02/09/2026,"Duyan AI Labs is looking for a Lead AI/ML Engineer based in Taguig. Responsibilities include working with Generative AI, TensorFlow, Python, Machine Learning, PyTorch. The ideal candidate has strong analytical and communication skills."
JP0061,Senior Business Intelligence Analyst (Remote),Hiraya Techworks,"Cebu City, Central Visayas",On-site,Full Time,,2026-04-20,"Hiraya Techworks is looking for a Senior Business Intelligence Analyst based in Cebu City. Responsibilities include working with SQL, Power Query, Data Modeling, DAX. The ideal candidate has strong analytical and communication skills."
JP0072,Junior Analytics Engineer,,"Iloilo City, Western Visayas",On-site,Full Time,"Up to ₱69,000/month","May 11, 2026","Luntian Networks is looking for a Junior Analytics Engineer based in Iloilo City. Responsibilities include working with SQL, dbt, Git, Snowflake. The ideal candidate has strong analytical and communication skills."
JP0015,Junior Business Intelligence Analyst,Bughaw Systems,"Makati, Metro Manila",WFH,Contract,"₱44,000 - ₱56,000 / month","Jan 28, 2026","Bughaw Systems is looking for a Junior Business Intelligence Analyst based in Makati. Responsibilities include working with Tableau, DAX, Data Modeling, SQL, Power Query. The ideal candidate has strong analytical and communication skills."
JP0093,Senior Data Engineer,,"Davao City, Davao Region",On-site,Permanent,"PHP 129,000-164,000 monthly",06/17/2026,"Siklab Innovations is looking for a Senior Data Engineer based in Davao City. Responsibilities include working with Python, Airflow, Spark, Snowflake, Azure, ETL. The ideal candidate has strong analytical and communication skills."
JP0052,Business Intelligence Analyst,Alon Digital Ventures,"Iloilo City, Western Visayas",Hybrid ,Full-time ,Negotiable,04/05/2026,"Alon Digital Ventures is looking for a Business Intelligence Analyst based in Iloilo City. Responsibilities include working with Tableau, DAX, SQL. The ideal candidate has strong analytical and communication skills."
JP0071,AI/ML Engineer (Urgent),Tagpo Technologies,"Mandaluyong, Metro Manila",Onsite,Full-time,"PHP 129,000-164,000 monthly","May 07, 2026","Tagpo Technologies is looking for a AI/ML Engineer based in Mandaluyong. Responsibilities include working with Machine Learning, NLP, PyTorch, TensorFlow, Generative AI, Python. The ideal candidate has strong analytical and communication skills."
